,time,id,like,comment
42,2020-02-17,不凉的不凉,13,"要是钉钉出了打赏功能，就会变成这样数学老师：接下来我们来看这道题...感谢王同学打赏的五个三角尺，感谢李同学打赏的99个圆规，下一个数学课代表就是你了。
语文老师：那么，这个人物我们要如何分析呢？从三个地方入手...感谢赵班长的十套文房四宝，谢谢....现在我们继续看这个题。
英语老师：这道非谓语其实是我们讲过很多遍的.....英语科代表刷了66个词典，感谢感谢，那么就让你来回答这个问题。"
44,2020-02-18,霖晨晨,12,钉钉别做软件了，做up吧！
45,2020-02-17,白糖和烧饼,12,钉钉这个官博我i了
48,2020-02-18,芹泽无弊,11,"此生无悔入钉钉，分期付款五颗星
网络直播不用愁，一夜送你千万楼
梦回直播千万题，只身一人思师踢
无可耐可听课去，又回钉钉分五星"
50,2020-02-18,贾中弟,10,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）"
49,2020-02-18,我们去打猎吧,8,大家不要被骗了，这不是钉钉官方，这是鬼畜区up 主啊
51,2020-02-18,所以樱吻爱过我么,7,等疫情结束我就给你⭐⭐⭐⭐⭐
52,2020-02-18,1117SMAC,7,同时得罪了两代人的应用
60,2020-02-18,你家墨年吖,7,在？开个防沉迷？
56,2020-02-17,儒雅随和的玲珑子,6,元首没带口罩，建议隔离@平安德国
57,2020-02-17,一个刚交的朋友,6,我想让热评可我这个四级号是不行了，三连我按了（明示）
53,2020-02-18,两只溪沈溪,6,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）"
55,2020-02-17,改名要六硬币是骗人的,6,AV89578145
54,2020-02-17,军方-叶戈尔,6,此生无悔入钉钉，分期付款给五星
59,2020-02-18,吾-念你,5,钉钉坚持，等到疫情结束开学，我们学生党一起给你刷五星
58,2020-02-18,柯谢尔德的幼龙,5,所以（原）鬼畜区大佬元首这么多人不知道吗哈哈哈哈~搞比利和韩大狗打烂个蛋，小黄，斯大林达令…的出处都是来着元首的鬼畜作品啊
66,2020-02-18,余百乐,5,前天我还在看你的鬼畜笑，昨天我们班主任就通知用钉钉上网课了，今天已经开始了超爱钉钉的，所以去点了一个一星
65,2020-02-17,改名能中奖那都去改了,4,评论区真的是各种闪电大家都这么闲的么
85,2020-02-20,自称为无可救药的恶党,4,你们这个是什么软件啊？你们这个软件真是害人不浅啊，我的家孩子一天天就知道抱手机看这个，你们这样会害死我孩子的，叫你们负责人出来啊，这么多学生沉迷你家软件，你们都不知道设置一个防沉迷，你们还有没有良心啊，啊?管管软件，救救孩子吧
86,2020-02-17,仮面ライダー崇皇,4,没准儿睡上一觉就有热评了呢
124,2020-02-19,半世为齐,4,"1.丁丁是免费的，这次收费提供
2.丁丁属于娱乐软件，所以连麦接通打开摄像头很不正常，
3.愿意学习就别装模作样，真的舒服就和老师说，恶意一星只能暴露你的素质好
4.比较老师有专业的器具也经常直播过很正常.
5.你们不想用丁丁，我们想学的也不想用。
6.不服的来喷我"
64,2020-02-18,神州上仙护佑人间,4,钉钉员工藏龙卧虎啊！鬼畜大佬啊这是
63,2020-02-18,不是鸽王的鸽子蛋,4,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）复制粘贴

最后，这次高考会疯狂奖励那些在家里非常自律的人"
62,2020-02-18,仙味-,4,那么问题来了，元首的口罩呢
61,2020-02-18,恶人救世主,4,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）复制评论区"
77,2020-02-18,子桑慕柏,3,"哈哈哈(ಡωಡ)hiahiahia
三多不去当专职up主可惜了"
84,2020-02-17,白虞小鸽鸽,3,！！！！
83,2020-02-17,墨稀哥鸡肉卷_Mori,3,谢谢，有被笑到
81,2020-02-17,欣桐YX,3,看在你皮下是小姐姐的份上，我就一次性给你付清五星吧
80,2020-02-18,幻辰まぼろし,3,".＃ :
      /    l l   \
  /⌒　　⌒)::
 /へ_＿  / /::
(＿＼＼  ﾐ)/::
　 ｜ `-イ::
　 /ω　 )::
　/／  ／::
／　／::
(　く:::
|＼ ヽ:"
79,2020-02-18,人独在っ花未泯,3,万万没想到我还能在家里的床上见到班里喜欢的女生     钉钉真好 我爱钉钉（
78,2020-02-18,天晓知御津,3,在？抽个钉钉号封了
82,2020-02-17,怕是要拔刀了,3,性感钉钉 在线鬼畜
76,2020-02-18,意外的重新开始,3,不是我们想给一星，只是我们没找到0星在那
67,2020-02-20,暗夜の城,3,好好的官方被一星警告吓到了鬼畜区
74,2020-02-18,是mayoyi,3,这么好用的软件！ 必须五星！！（
73,2020-02-18,被打蒙变异的SCP-408,3,"钉钉也不容易，都要吃饭的，情商也高，各位就分两期付款吧
走了炸学习通去"
72,2020-02-18,一般通过の车车人,3,"我建议大家理智一点，软件他没有错，而且大家本来就上学了，还有大家想一想，你上完网课你还可以玩一下手机，你在学校可以吗？所以大家就知足吧，况且钉钉这个软件我认为挺好的，不要不理智的去打一星，想想别人要工作和工资，辛辛苦苦的把这个软件做出来，阿里巴巴还是很出色的。建议大家要理智                                               
★☆☆☆☆"
71,2020-02-18,黑库洛,3,你tm不是官方吗？做鬼畜上瘾了？
70,2020-02-19,甄皿清醇,3,钉钉主播素质不行，  让她跳个舞她都不跳，还问我哪个班的，真是笑死我了
69,2020-02-19,君の怀民,3,此生无悔入钉钉，分期付款给五星
68,2020-02-19,-夏波-,3,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）"
75,2020-02-18,账号已注销,3,感觉你的粉丝能超过阿里巴巴
116,2020-02-18,21984845317_bili,2,不是大家非要给一星啦，而是评价最低只有一星
114,2020-02-18,YY黑粉初号机,2,你女装我就五星一次
113,2020-02-18,JKEEE-,2,说真的，自我体验钉钉不太好用，图片不能旋转，打卡不好找。直播不能旋屏不知道是不是我的问题
109,2020-02-18,木子东木木,2,我觉得钉钉还是挺好的，至少它不卡。我们老师之前交作业用qq打卡，真的卡得不行，每天交作业都麻烦的不行，浪费了大量娱乐时间。本来假期延长要学习也是正常的，只是钉钉很好所以被选中了，那我还是五星好评分期付款吧。
112,2020-02-18,拂远之柠,2,在？请把我们班所有人的钉钉账号都封了吧，我替大家谢谢您啦！
111,2020-02-18,越蜉_glory,2,一个小时作业一个赞
110,2020-02-18,梦亦丶无痕,2,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真实好用！一次付清了！不用谢！"
118,2020-02-17,口阿_这,2,"钉～★☆☆☆☆
钉～★☆☆☆☆"
117,2020-02-18,Ackerlyowo,2,"又是一个熬夜做鬼畜的up主，真辛苦，那我就给三连………哦是钉钉啊，那没事了，不分期5星好评收好
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆"
123,2020-02-17,八-级-大-狂-风___,2,什么?！钉钉也要加班了！?
119,2020-02-17,倒霉的祐子,2,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真是好用！已经一次付清了！不用谢！"
120,2020-02-17,重玥,2,加个防沉迷可好
121,2020-02-17,梵尹机点,2,★☆☆☆☆
122,2020-02-17,某人家的狗子,2,此生无悔入钉钉 分期付款五颗星
107,2020-02-18,不是司稽,2,建议添加未成年防沉迷系统
950,2020-02-17,易安宁丸身心健康,2,祝您这个软件寿比昙花
949,2020-02-18,焼烤牛排,2,支持钉钉，接受过社会毒打才知道学习的重要，考研狗路过
948,2020-02-19,化学中微子老师,2,弹幕里刷一星的都是什么心态？
108,2020-02-18,我叫陳都靈,2,"听说出了个新的直播软件评分很低 就下载试了试
难怪评分低 刚让主播跳舞都不愿意 还问我哪个班的，要开除我"
115,2020-02-18,胡烧胡哨,2,在？来个防沉迷就五星
106,2020-02-18,血小板゙゙゙゚゙゙゙,2,此生无悔入钉钉，分期付款给五星
96,2020-02-19,---tsuki,2,我家鼠就叫屎蛋……
87,2020-02-21,-Black_Cat,2,我觉得钉钉一定能成为一个很强的up，不用再做学习软件了
88,2020-02-21,白白的白喵,2,想让钉钉回复我qvq，我在百度上可是帮钉钉说话了的
89,2020-02-21,冻冻回魂夜_七七,2,
105,2020-02-18,正在嘤嘤的原谅,2,我觉得钉钉是一个十分好的软件，又良心，又能学习，5星了，请加大力度。（
90,2020-02-21,帝国之狐妖隆美尔,2,"《钉陵圣词》：
             此日曙光照国都，
             万人聚于沙丘上。
             举国欢庆松庆词，
             但非拜神祭上天。
             鞭炮声响唢呐吹，
             并非喜事非祭祖。
             棺一台，布一盖，
             并非人死忙丧葬。
             就为庆那钉钉死，
             愿人用记今日兴!"
91,2020-02-21,我是你的sei,2,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆"
93,2020-02-20,某有人权的基洛夫,2,在？建议出个防沉迷系统。每天最多可以用两小时。每日晚上九点到次日8:00不可登录一周累计使用时间不可超过9小时以上。每周不能登录超过三天同时把所有12岁以下帐号封禁
94,2020-02-20,危害群众,2,★☆☆☆☆
95,2020-02-20,LJL299,2,钉钉软件真的不错，你们不要再给1星了！钉钉加油！我给五星！不过我会分五次给
92,2020-02-20,痴情天空的鱼,2,折寿了，钉钉转行当UP主
97,2020-02-19,SUNNY-FLOWER向日葵,2,作为4级号，告诉那么个小秘密，bilibili又出隐藏彩蛋了，连续赞16下，你会发现新大陆
99,2020-02-19,晓之黎明OvO,2,★☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆
104,2020-02-18,たちばや八幡の彩華,2,钉钉
103,2020-02-18,梦逝依然深醉美,2,"好活，当赏
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
整活了"
100,2020-02-19,魔之问安,2,在抽个老师封号
102,2020-02-19,暮白先森,2,"★☆☆☆☆（第一天）
★☆☆☆☆（第二天）
★☆☆☆☆（第三天）
★☆☆☆☆（第四天）
★★☆☆☆（手滑了）"
98,2020-02-19,_For-tune,2,2020年第一次看到元首……挺感动的，感谢钉钉（？）
101,2020-02-19,哈啊那,2,你转行吧，别给阿里打工了
680,2020-02-17,枫夜乄秋舞,1,诶，我是第一个，五星给了，看我这花呗😁
682,2020-02-17,屠苏酒保协会会长言洛,1,沙发我的啦！宁看防沉迷能不能………
681,2020-02-17,還很喜歡合情合理,1,第一
678,2020-02-17,瀚太,1,钉!
679,2020-02-17,无限幻想-有限现实,1,最好别搞这东西，印象会进一步降低的。。。
677,2020-02-17,来得早的傻子,1,鬼畜区UP主钉钉
676,2020-02-17,月影枫桥苑,1,第一，抢！
675,2020-02-17,人质伙伴FUZE,1,nbnbnbnb我第一！
674,2020-02-17,NPChh,1,卧槽，好红红火火恍恍惚惚，哈哈哈哈哈哈哈
684,2020-02-17,我不吃药A,1,钉钉还不碎觉(ΘдΘ；)
683,2020-02-17,在下梦汐,1,钉钉！我爱你！反正我也不用
690,2020-02-17,升神院长,1,这个钉钉很高产啊，怕不是加班了
685,2020-02-17,wypx,1,钉钉被bli化了咩
686,2020-02-17,柠雪草,1,元首的五星也要分期吗？
687,2020-02-17,zj卡绒,1,？？！！！！！我没看错作者吧！
688,2020-02-17,呱唧恬清,1,在？麻烦设定个未成年防沉迷系统
689,2020-02-17,孤城空巷え,1,我怀疑你是钉钉官方高仿号
672,2020-02-17,战魄之子,1,3000播放没有评论
691,2020-02-17,咕咕咕-_,1,收下吧～这是最后的🌟了～
692,2020-02-17,大一号一号一一号,1,哈哈哈哈哈哈哈哈哈哈
693,2020-02-17,福葛的奇妙课堂,1,自己没带口罩还迫害别人的屑元首
694,2020-02-17,不是贴身高手,1,热评在眼前，骚话卡嘴边
695,2020-02-17,机智的大尾巴狼,1,建议不改
673,2020-02-17,顾寒up,1,在?加个防沉迷，半个小时一次那种。
663,2020-02-17,淺越風,1,
671,2020-02-17,苦索哈哈哈,1,沙发！
658,2020-02-17,忘忆苇,1,公号私用石锤
648,2020-02-17,会喵喵叫的雷姆酱,1,沙发
649,2020-02-17,NOMOBILEPHONEBIA,1,第一？钉钉同学你在干嘛
650,2020-02-17,晝短夜常,1,零…零评？
651,2020-02-17,西蒙向东,1,前排
652,2020-02-17,萌新带制作,1,第一，哈哈哈
653,2020-02-17,山吹色妖精,1,新人抢热评
654,2020-02-17,你已经长大了_少年,1,钉钉这么可爱你们为什么要给他一星啊，我这就去给他个五星！（反正我也不上网课）
655,2020-02-17,狂三酱的落辰,1,？昂
656,2020-02-17,此尔盖茨,1,()
657,2020-02-17,towa单推人,1,不愧是你
659,2020-02-17,帅---曹,1,开着后台还是看钉钉
670,2020-02-17,名字是什么快来告诉我,1,第一
660,2020-02-17,大狗你欠我要用什么还,1,在？腾讯都有健康系统了，建议钉钉也出一个不满18岁的学习1小时强制下线
661,2020-02-17,Really任,1,噗哈哈哈
662,2020-02-17,雨落沙城,1,"元首复工（x）
给自己打广告（√）"
697,2020-02-17,chua洗,1,下次一钉
664,2020-02-17,善良的大混蛋,1,什么，钉钉也做鬼畜了
665,2020-02-17,包菜入侵-,1,可以留言
666,2020-02-17,三三的信徒,1,……
667,2020-02-17,千暮吖吖吖,1,怎么没人
668,2020-02-17,毛白杨丶,1,你钉起来真好听你钉起来真好听
669,2020-02-17,我在未来等你qbtw,1,第一
696,2020-02-17,魇魉-,1,2000多播放量没评论？
707,2020-02-17,账号已注销,1,5星好评分期付款
698,2020-02-17,夜雨耶耶,1,＿钉＿
738,2020-02-17,心若向阳冬亦暖,1,下次一钉
728,2020-02-17,就漏网之鱼,1,一楼诶，算了，写作业要紧
729,2020-02-17,圈奈-,1,挺不容易的
730,2020-02-17,眼角那の抹淚,1,不务正业
731,2020-02-17,KAULA-,1,我先来  ★☆☆☆☆
732,2020-02-17,bili_107173094,1,一时想不出什么骚话，下次一钉吧。
733,2020-02-17,汉尼拔的领带夹,1,热评就在眼前，骚话就在嘴边
734,2020-02-17,一个刚交的朋友,1,第一
735,2020-02-17,顾言か,1,万能德语
736,2020-02-17,灰の魔女伊蕾娜゛,1,
737,2020-02-17,海洋学家Q太郎,1,元首：终于不用上钉钉了！！！！
739,2020-02-17,云海中的星星,1,诶诶?
726,2020-02-17,你问我叫什么我问谁,1,在？给整个防沉迷呗？两小时那种？
740,2020-02-17,永恒25246,1,我就想问你能让钉钉他不卡吗
741,2020-02-17,饕餮不浪漫,1,第一！
742,2020-02-17,墨翰清玄,1,愿钉钉早日成为超越父亲大人
743,2020-02-17,茶树梨花,1,
744,2020-02-17,v黄西v,1,第一
745,2020-02-17,法西路13号,1,元首不是在湖北省么，隔离隔离
746,2020-02-17,丿酒醉梦红颜,1,第一
747,2020-02-17,温迪_Official,1,我第一，钉钉给👴扣个一（滑稽保命）
748,2020-02-17,髓便的Super漫迷,1,元首不戴口罩，罚款200欧元
646,2020-02-17,温温uuki,1,第一吗
727,2020-02-17,凯文上尉,1,在？发个鬼畜，多给一星
724,2020-02-17,CRAZY504,1,钉钉怎么了？钉钉也是为了我们的学习着想！我们可能会有更好的未来，草长莺飞二月天，你们要好好珍惜，马首是瞻指日可待！把括号删干净不然没钱
699,2020-02-17,盒子里的笨猫,1,
711,2020-02-17,木角西,1,你就皮吧
700,2020-02-17,今天不过节哦,1,？
701,2020-02-17,马猴烧酒_伊莉雅,1,没评论吗，还是我卡了
702,2020-02-17,洛凡今天没吃药,1,什么？元首也要上网课！？
703,2020-02-17,逍遥游灬随风,1,★☆☆☆☆
704,2020-02-17,我椎名真白啊,1,又响了，我该努力了
705,2020-02-17,清梦_星河,1,第一个
706,2020-02-17,快乐莽夫老王,1,在官方号面前想不出什么骚话，祝你们用钉钉的时候不卡吧
708,2020-02-17,陌生的骑士,1,什么鬼
709,2020-02-17,俺没有硬币了QWQ,1,祝大家在寒假，每天都能在钉钉准时打卡
710,2020-02-17,冬季的风景,1,
712,2020-02-17,一一一一一一一--,1,3000播放居然一条评论都没有
723,2020-02-17,取个名字还不过-_-,1,都复工了，钉钉你使命结束了，下架吧
713,2020-02-17,喔喔喔唔唔,1,好真实，不过还得分期
714,2020-02-17,倾言yo,1,只有高级员工配戴口罩，还是因为元首会喷口水
715,2020-02-17,从前有个傻乎乎,1,
716,2020-02-17,極樂旧幻,1,看来要转战以鬼畜维持生活了
717,2020-02-17,JingLeiY,1,诶嘿，8分钟前还热乎的诶
718,2020-02-17,酒味风华夜,1,中德关系毁于一旦
719,2020-02-17,冷たい柚子,1,真正可恨的不是钉钉而是那些吃野味的人
720,2020-02-17,逍遥游灬随风,1,？？？
721,2020-02-17,無題Unplugged,1,办公软件硬是变成了直播软件。੭ ᐕ)੭*⁾⁾
722,2020-02-17,墨白凛,1,沙发啊
647,2020-02-17,这是阿鱼啦,1,喵！！！！
582,2020-02-17,看到我的最好去学习,1,？？？评论功能关了？？？？
645,2020-02-17,阿芙乐尔的炮手,1,哇，第一
580,2020-02-17,EX受司君,1,第一
570,2020-02-17,霸占D,1,
571,2020-02-17,河上宫佐,1,元首的五星好评
572,2020-02-17,Tansport,1,在？一星警告⚠️～
573,2020-02-17,Jacobfyer,1,下次也不一钉
574,2020-02-17,逮虾户斯基,1,请问这个三级号怎么升？？？・_・?
575,2020-02-17,酱短小伊索憨批颜粉,1,不用钉钉的我看着你们
576,2020-02-17,斗士--塔露拉,1,我在商店看见个评分极低的软件，以为是那种东西结果一进去就被要证明一道题
577,2020-02-17,呐呐呐_呐呐呐_,1,我要想个骚段子上热评
578,2020-02-17,青然-,1,？神他妈一条评论没有？那么我可不可以做被第一个回复的人
